id,sentence,section_nr,Labels,has_citation,last_section_title
1,"Future research should consider the potential effects of   more carefully, for example  ",6,Future work,0,Future Work
2,This assumption might be addressed in future studies.,6,Future work,0,Future Work
3,Future  research on   might extend the explanations of  ,6,Future work,0,Future Work
4,This is very much the key component in future attempts to overcome  ,6,Future work,0,Future Work
5,"In future work, investigating   might prove important.",6,Future work,0,Future Work
6,This is desirable for future work.,6,Future work,0,Future Work
7,Future investigations are necessary to validate the kinds of conclusions that can be drawn from this study.,6,Future work,0,Future Work
8,Future studies could fruitfully explore this issue further by  ,6,Future work,0,Future Work
9,Future research is needed to delimitate  ,6,Future work,0,Future Work
10,It will be important that future research investigate  ,6,Future work,0,Future Work
11,It is a question of future research to investigate  ,6,Future work,0,Future Work
12,"We believe that apart from looking for  , future research should look for  ",6,Future work,0,Future Work
13,"Regardless, future research could continue to explore  ",6,Future work,0,Future Work
14,This is an issue for future research to explore.,6,Future work,0,Future Work
15,Future studies could investigate the association between  ,6,Future work,0,Future Work
16,Future studies should aim to replicate results in a larger  ,6,Future work,0,Future Work
17, Future research should be devoted to the development of  ,6,Future work,0,Future Work
18,This may constitute the object of future studies.,6,Future work,0,Future Work
19,Future research could examine  ,6,Future work,0,Future Work
20,Interesting research questions for future research that can be derived from  ,6,Future work,0,Future Work
21,"In future research, more research is needed to apply and test  ",6,Future work,0,Future Work
22,This is an interesting topic for future work.,6,Future work,0,Future Work
23,Future research should further develop and confirm these initial findings by  ,6,Future work,0,Future Work
24,Future research should certainly further test whether  ,6,Future work,0,Future Work
25,"As also recommended above, future research should  ",6,Future work,0,Future Work
26,Future research should examine strategically  ,6,Future work,0,Future Work
27,Future research might apply  ,6,Future work,0,Future Work
28,"In addition,   might prove an important area for future research.",6,Future work,0,Future Work
29,A number of recommendations for future research are given.,6,Future work,0,Future Work
30,"Therefore, future research should be conducted in more realistic settings to  ",6,Future work,0,Future Work
31,Further research on   issue is warranted.,6,Future work,0,Future Work
32,Further work is certainly required to disentangle these complexities in  ,6,Future work,0,Future Work
33,"Looking forward, further attempts could prove quite beneficial to the literature.",6,Future work,0,Future Work
34,Further research is needed to confirm this novel finding.,6,Future work,0,Future Work
35,These result warrant further investigation via  ,6,Future work,0,Future Work
36,This provides a good starting point for discussion and further research.,6,Future work,0,Future Work
37,Further studies should investigate  ,6,Future work,0,Future Work
38,The possibility of   warrants further investigation,6,Future work,0,Future Work
39,This experimental design was employed because  ,4,Method,0,Method
40,"In the course of the experiment,   played an important role.",4,Method,0,Method
41,The experiments were performed with  ,4,Method,0,Method
42,This was experimentally investigated by  ,4,Method,0,Method
43,Most experiments have been carried out with  ,4,Method,0,Method
44,The main focus of the experiments was to calculate  ,4,Method,0,Method
45,Prior to each experiment  ,4,Method,0,Method
46,The experiments are completely based on  ,4,Method,0,Method
47,In our preliminary experiments we estimated that  ,4,Method,0,Method
48,"In this experiment, we introduced a  ",4,Method,0,Method
49,Methods were based on previous experiments  ,4,Method,0,Method
50,This  proceeds in two stages:  ,4,Method,0,Method
51,After a series of experiments it was found that  ,4,Method,0,Method
52,"Therefore, in this experiment we define goals as  ",4,Method,0,Method
53,"In this experiment, we introduced a  ",4,Method,0,Method
54,"We consider the setup generic, however,   ",4,Method,0,Method
55,This was designed to acquire approximately  ,4,Method,0,Method
56,These were designed in such a way that  ,4,Method,0,Method
57,This experimental design was employed because  ,4,Method,0,Method
58,This was specifically designed for  ,4,Method,0,Method
59,This was designed to acquire approximately  ,4,Method,0,Method
60,There were   participants in this sample.,4,Method,0,Method
61,Participants first provided informed consent about  ,4,Method,0,Method
62,We performed additional data collection with  ,4,Method,0,Method
63,"For this study, we analyzed the data collected from  ",4,Method,0,Method
64,The data are less clear-cut than  ,4,Method,0,Method
65,Data were collected and maintained by  ,4,Method,0,Method
66,"For this purpose, we employ survey data collected from  ",4,Method,0,Method
67,The application employs data obtained from  ,4,Method,0,Method
68,The analyzed data included:  ,4,Method,0,Method
69,The procedures of handling the data followed the suggestions of  ,4,Method,0,Method
70,"Subsequently,   were then used to elicit further data.",4,Method,0,Method
71,The experimental data on   is very scarce.,4,Method,0,Method
72,The data in this work consists of  ,4,Method,0,Method
73,Survey data were collected from  ,4,Method,0,Method
74,This study used different data collection methods such as  ,4,Method,0,Method
75,The quality can be enhanced by providing additional data for ,4,Method,0,Method
76,Such data are prone to  ,4,Method,0,Method
77,We utilize secondary data from  ,4,Method,0,Method
78,The data was divided into  ,4,Method,0,Method
79,Participants in the first data collection were  ,4,Method,0,Method
80,The sample was heterogeneous with respect to  ,4,Method,0,Method
81,The sample size in this study was not considered large enough for ,4,Method,0,Method
82,We cannot deny the presence of some sample selection biases because  ,4,Method,0,Method
83,The sample of respondents included  ,4,Method,0,Method
84,The researchers pooled samples to  ,4,Method,0,Method
85,The sample strategy was the same as for ,4,Method,0,Method
86,"However, there are trends in our data to suggest that  ",4,Method,0,Method
87,The trend values were then subjected to  ,4,Method,0,Method
88,We analysed data as a function of  ,4,Method,0,Method
89,"We used an established technique, namely  , to analyse  ",4,Method,0,Method
90,This showed a judgement error of  ,4,Method,0,Method
91,"To investigate this statistically, we calculated  ",4,Method,0,Method
92,A   test was used to determine the significance of data,4,Method,0,Method
93,Our data show that there is  ,4,Method,0,Method
94,Our data suggest that   which  may be based partly on  ,4,Method,0,Method
95,Data also revealed a significant  ,4,Method,0,Method
96,Our data also address the  ,4,Method,0,Method
97,Data were analyzed and correlated with  ,4,Method,0,Method
98,The data are presented in Table  ,4,Method,0,Method
99,"However, according to our data  ",4,Method,0,Method
100,We undertake the empirical analysis using data collected in  ,4,Method,0,Method
101,The data is analyzed from different points of view such as  ,4,Method,0,Method
102,The data reveals significant differences in  ,4,Method,0,Method
103,"Thus, the data supports the premise that  ",4,Method,0,Method
104,Results provides a good fit to the data  ,4,Method,0,Method
105,We compared the results with the original data in ways  ,4,Method,0,Method
106,The evaluation of the data is shown in  ,4,Method,0,Method
107,We explicitly accounted for  ,4,Method,0,Method
108,Missing values were replaced using  ,4,Method,0,Method
109,This analysis was confined to  ,4,Method,0,Method
110,The evaluation of the data presented in this work leads to  ,4,Method,0,Method
111,We explored these effects statistically by  ,4,Method,0,Method
112,Statistical analyses was performed by using the   applying a significance level of  ,4,Method,0,Method
113,The results were statistically significant when compared using  ,4,Method,0,Method
114,This was normally distributed throughout the study population.,4,Method,0,Method
115,This distribution resulted in  ,4,Method,0,Method
116,Significant differences in the   remained.,4,Method,0,Method
117,This was the only parameter that had a statistically significant correlation with  ,4,Method,0,Method
118,We used   statistics to report  ,4,Method,0,Method
119,This had a statistically significant impact on  ,4,Method,0,Method
120,The correlation between   and   is positive and statistically significant at  ,4,Method,0,Method
121,We calculate   statistic to test the null hypothesis that  ,4,Method,0,Method
122,As shown in Table   are statistically significant at all levels.,4,Method,0,Method
