,sentence,section_nr,has_citation,last_section_title,Labels
0,This live defined as 1 00 Defination,1,0.0,Defination,Defination
1,A sunshine be a maven that shine 1 00 Defination,1,0.0,Defination,Defination
2,e set galaxy as the group of star 1 00 Defination,1,0.0,Defination,Defination
3,e ask that these were in all likeliness stimulate by the 1 00 Hypothesis,1,0.0,Hypothesis,Hypothesis
4,Information technology could trace theorise that 4 00 Hypothesis,4,0.0,Hypothesis,Hypothesis
5,The aims of the present study were to test the following hypotheses  2 00 Hypothesis,2,0.0,Hypothesis,Hypothesis
6,To riddle this hypothesis we hypothesise that 1 00 Hypothesis,1,0.0,Hypothesis,Hypothesis
7,In this study Single hypothesized that a important correlation exists in 1 00 Hypothesis,1,0.0,Hypothesis,Hypothesis
8,In the definitive deﬁnition this refers to 1 00 Random,1,0.0,Random,Defination
9,There be no right deﬁnition for in the slip of 1 00 Random,1,0.0,Random,Defination
10,In our experiments hither we define our to hold up 3 00 Random,3,0.0,Random,Defination
11,It is first important to define what would constitute 3 00 Random,3,0.0,Random,Defination
12,This definition is faint and crataegus laevigata be less than helpful when 3 00 Random,3,0.0,Random,Defination
13,the result maintain going the speculation 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
14,they part hold up the hypothesis 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
15,the results bring home the bacon support for many of the hypotheses 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
16,the final result digest the notion 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
17,guess 2a is corroborate 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
18,the results support guess unity 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
19,thus  h1 is supported  18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
20,so h2 price also supported 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
21,so h3 personify supported 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
22,thusly h4 and h5 comprise stick out 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
23,once once again h3 and h4 be tolerate 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
24,therefore Ïƒ hypothesis 1 is back up 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
25,this result corroborate hypothesis quatern 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
26,thence Ïƒ surmisal eighter is sustain 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
27,hence Ïƒ hypothesis leash comprise non underpin 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
28,furthermore we found bread and butter for hypothesis 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
29,however we could non witness support for 2 of our hypotheses 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
30,by contrast  the model is strongly positive  18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
31,the results indicate partial support for h2a 18 00 hypothesis testing ,18,0.0,hypothesis testing ,Hypothesis Result
32,we define relational digital transubstantiation as a summons through with which practice session  organisation swelled money of digital technologies evolve over fourth dimension 0 00 abstract,0,0.0,abstract,Defination
33,in the es  government context bannister  connolly 2014 define values as modes of behaviour that are generally held to be correct and argue that they underlie all forms of transformation 0 10 abstract,0,1.0,abstract,Defination
34,we fix ρ a as follows 1 00 introduction 1 ,1,0.0,introduction 1 ,Defination
35,we delineate ρ a as watch 1 00 introduction 1 ,1,0.0,introduction 1 ,Defination
36,we define ρ a as come after 1 00 introduction 1 ,1,0.0,introduction 1 ,Defination
37,we specify ρ a as follows 1 00 introduction 1 ,1,0.0,introduction 1 ,Defination
38,we determine ρ a as follows 1 00 introduction 1 ,1,0.0,introduction 1 ,Defination
39,we specify  user reply  as the set of emotional and behavioral reactions certify among exploiter that co  emerge as data technology be infix into their work environment 2 00 open access ,2,0.0,open access ,Defination
40,to a greater extent precisely institutional logics are  the organizing principle that govern the selection of technologies define what sort of actors are authorized to medical professionalism seem of critical importance heeks 2006 kraemer king dunkle  lane 1989 mok 2010  2 10 theoretical background ,2,1.0,theoretical background ,Defination
41,we justify each supposition in detail below 2 00  literature review ,2,0.0,| literature review ,Hypothesis
42,what differentiates automation in the 21st century with automation in the 20th century is the use of computer technologies that may be described as  intelligent   davenport and kirby  2015   2 10 conceptualising intelligent automation for knowledge and service work ,2,1.0,conceptualising intelligent automation for knowledge and service work ,Defination
43,we define patent amount as the number of patents that a firm create 2 00 theory and hypotheses ,2,0.0,theory and hypotheses ,Defination
44,hypothesis 1  2 00 theoretical background ,2,0.0,theoretical background ,Hypothesis
45,hypothesis 2  2 00 theoretical background ,2,0.0,theoretical background ,Hypothesis
46,to study the relationship between motivations and the story of outsource σ  we place forrard niner surmisal 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
47,our foremost supposition σ  thence σ  subject as follow 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
48,hypothesis ane 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
49,therefore σ  we argue that companies seeking to focus on their core business enterprise testament outsource more business processes hypothesis ii 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
50,therefore σ  we situate the next hypothesis hypothesis 3 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
51,based on the above  σ we propose the following hypothesis  hypothesis 4  3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
52,therefore σ  we theorize the following guess v 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
53,thence σ  we posit the succeeding surmisal possibility 6 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
54,we hypothesize the followers speculation 7 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
55,following this proposition σ  we posit the following conjecture speculation 9 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
56,thus  σ we hypothesize that the nine motivation variables identified in earlier reviews  table 6  affect the degree of outsourcing within one business function  3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
57,figure 1 presents a sum up of our hypotheses 3 00 hypothesis development ,3,0.0,hypothesis development ,Hypothesis
58,theory 1a 3 00 category explanation ,3,0.0,category explanation ,Hypothesis
59,supposition 2a 3 00 category explanation ,3,0.0,category explanation ,Hypothesis
60,hypothesis 1b 3 00 category explanation ,3,0.0,category explanation ,Hypothesis
